Company,Stage,Funding / Backing,HQ,Size,What They Do,AI Focus,Recent (2025-26),Website,# Roles
Steneral Consulting,"IT staffing / consulting intermediary (W2 contract placement, not a direct product employer)",N/A (services firm); ~$15M annual revenue (2025),"Plano, TX",~81 across 3 continents,"IT/engineering/healthcare staffing - contract, contract-to-hire, direct-hire placements",None proprietary; places AI/PM contractors at client companies,~$15M revenue as of Sept 2025,steneral.com,1
"Syndesus, Inc.",private (small staffing / EOR firm),Private; bootstrapped staffing/PEO firm,United States / Canada (remote),~10-50 employees,Staffing and EOR/PEO firm connecting VC-backed US startups with senior remote AI/engineering talent in Canada; this posting may be for a client or for Syndesus itself.,"Places senior AI/ML engineers; internal AI agents and workflow automation (MLOps, prompt orchestration).",Continues to market 3-week placement of senior Canadian AI engineers (2025-2026).,https://syndesus.com,1
Synechron,"Private, profitable, founder-led (bootstrapped)",Private; crossed $1B annual revenue (2025); universal employee equity grant,"New York, NY","~16,000-16,500 across ~60 offices",Global digital-transformation / technology & AI consulting firm focused on financial services,FinLabs 'Ready-to-Implement' GenAI solutions; launched an AI Agents suite for financial-services workflows,Hit $1B revenue (Sept 2025) and launched GenAI AI-Agents suite (2025-26),https://www.synechron.com,1
Talener,private (tech staffing/recruiting firm),private,"New York, NY",~50-150 employees,Technology-focused staffing/recruiting firm; this Principal PM role is for an undisclosed client.,N/A (recruiter); client AI focus unknown.,Active tech recruiting across NYC/NJ (2025).,https://www.talener.com,1
Talkdesk,growth (late-stage private),"~$592M total; Series D $230M at $10B+ valuation; investors incl. Viking, TVP, Threshold","San Francisco, CA (role remote/US)","~1,400 employees",Cloud contact-center (CCaaS) platform with AI-driven customer experience,"AI for customer experience: AI agents/copilots, automation, and analytics across the contact center; forward-deployed AI offerings",2025-2026: deepened agentic-AI CX capabilities and forward-deployed AI engagements,https://www.talkdesk.com,1
Talution Group,Private (IT staffing/recruiting firm; founded 2009),Privately held staffing firm; not VC-funded.,New York / New Jersey area (est.),"Small-to-mid (~50-200, est.)","IT staffing firm placing consultants (contract/contract-to-hire/direct) in PMO, data, mobile, app dev, and Salesforce; actual role is at an undisclosed client.",N/A directly — places product/data talent at client firms.,Active 2025-2026 placing senior/staff product roles for NYC-area clients.,https://www.talution.com,1
Tatari,"Growth (private, venture-backed)","Backers: Unanimous Capital, Section 32, Jump Capital (prior rounds); ~$37M revenue (2025)",San Francisco + New York City,~300-337,Data-driven TV advertising - buys and measures ads across linear + streaming/CTV,AI expansion for measurement/optimization of TV ad spend (2025 push),2025: 'record growth and AI expansion'; key executive hire,tatari.tv,1
TEEMA,private (staffing / recruiting firm),Private; recruiting/staffing firm (not the hiring employer),Canada / US (distributed),~200-500 across network,Talent solutions and staffing firm placing tech/AI roles; this posting is on behalf of an undisclosed client.,Recruits AI/ML and product roles for client companies; the actual role belongs to a client.,Active AI/tech placements across North America (2025-2026).,https://teemagroup.com,1
Tessera Labs,"Early-stage startup (founded 2025, Series A)","$60M Series A led by Andreessen Horowitz (May 2026; Foundation Capital, Myriad, Osage)","Silicon Valley (note: NYC posting may be early/remote — the funded company is Bay Area enterprise AI, NOT the unrelated NFT 'Tessera')","Small (<50, early-stage)",Vendor-agnostic multi-agent AI platform that modernizes enterprise ERP systems ('AI-native system integrator'),"Multi-agent AI for governed, automated enterprise software migration/modernization (SAP ECC->S/4HANA, expanding to Salesforce/Workday)",$60M a16z-led Series A (May 2026); founders ex-Meta/PhD,https://www.tesseralabs.ai,1
The D. E. Shaw Group,Private (large global hedge fund / investment firm),Privately held; ~$60B+ AUM. Not VC-funded.,"New York, NY","~2,000+ employees",Quantitative and discretionary investment management firm known for technology-driven strategies.,Applied AI/ML for research and internal platforms; building AI-powered tooling for private-equity and investment workflows.,Expanding applied-AI product teams to embed LLMs/agents into investment and PE workflows (2025-2026).,https://www.deshaw.com,2
Three Pillars Recruiting,private (recruiting firm),private; client is a Salesforce Ventures-backed AI AdTech/MarTech startup,US (recruiter),recruiter; client is a rapidly-growing startup,"Recruiting firm hiring a Product Lead for a fast-growing, Salesforce Ventures-backed AI AdTech/MarTech startup.",Client is AI-native AdTech/MarTech (per the posting); applies AI to advertising/marketing.,Client is rapidly growing with Salesforce Ventures backing (2025).,N/A (recruiter; client undisclosed),1
Thresh Consulting,startup (small AI-era consulting firm),Bootstrapped / privately held (no disclosed VC funding),"New York, NY (+ Chicago, Denver)",~1-10 employees,"AI-accelerated digital product consulting (strategy, design, engineering)",Uses AI-powered workflows to accelerate product design/build/delivery for client engagements,2025-2026: positioning as a 'full-stack' AI-era digital consultancy; actively hiring senior product talent,https://threshconsulting.com,1
Twilio,Public (NYSE: TWLO),Public; ~$4.5B+ annual revenue.,"San Francisco, CA (role is US remote)","~5,000+ employees","Cloud communications platform (CPaaS) — programmable messaging, voice, email (SendGrid), and customer engagement.","ConversationRelay and AI Assistants, agentic/conversational AI for customer engagement, and Segment CDP-powered AI personalization.","Heavy push into AI/agentic customer engagement (ConversationRelay, AI Assistants) and enterprise AI (2025-2026).",https://www.twilio.com,1
Uber,public (NYSE: UBER),Public; ~$180B+ market cap,"San Francisco, CA (large NYC presence)","~31,000+ employees","Global mobility, delivery and freight marketplace connecting riders, drivers, merchants and couriers.","ML for pricing/matching/ETA, AV (autonomous vehicle) integrations and partnerships, merchant/API platforms, growth and affordability ML.",2025-2026 expansion of autonomous-vehicle and autonomous-delivery partnerships and AV integration across the platform.,https://uber.com,6
US Mobile,"Growth (profitable, founder-led; lightly funded)","~$11.5M total (Series A, Jun 2021); largely bootstrapped/profitable since",New York City,~100-200 (est.),"MVNO wireless carrier offering plans across three networks - Warp (Verizon), Light Speed (T-Mobile), Dark Star (AT&T)",Consumer telecom platform; AI in support/ops (not core); strong product/eng culture,2025: multi-network expansion + teased Starlink satellite bundle,usmobile.com,1
Valon,growth (Series C),~$230M+ total; $100M Series C (Oct 2024) led by WestCap and Andreessen Horowitz,"New York, NY",~300-500 employees,AI-native mortgage-servicing platform and homeownership super-app modernizing how mortgages are serviced.,AI-native servicing platform automating mortgage operations; Rithm Capital expanding its stake to deploy Valon's platform at Newrez.,2025: Rithm expanding equity stake to deploy Valon's AI-native servicing platform at Newrez; scaling product infrastructure.,https://valon.com,1
WalkMe,"Wholly-owned subsidiary of SAP (acquired ~$1.5B, completed Sept 2024)",Acquired by SAP for ~$1.5B ($14/share all-cash); formerly NASDAQ: WKME,"Tel Aviv, Israel + San Francisco (now within SAP)","~1,000+ (integrated into SAP)","Digital Adoption Platform (DAP) — guidance, automation and analytics overlaid on enterprise software",WalkMeX copilot (context-aware in-workflow guidance/automation); now powering SAP's Joule copilot with cross-app context,Post-acquisition integration into SAP (alongside Signavio/LeanIX); WalkMeX feeding SAP Joule (2025-26),https://www.walkme.com,1
Warner Bros. Discovery,public (NASDAQ: WBD),Public; large media conglomerate,"New York, NY","~35,000+ employees","Global media and entertainment company (HBO Max/Max, Warner Bros studios, Discovery, CNN, TNT Sports).","Streaming personalization and search, ad experience/ad-tech, recommendation ML, content discovery.",2025-2026 Max streaming growth and the announced split of WBD into Streaming/Studios vs. Global Networks businesses.,https://wbd.com,4
Weights & Biases,acquired (now part of CoreWeave),"acquired by CoreWeave (NASDAQ: CRWV) for ~$1.7B, completed May 2025; prior VC raised ~$250M+ (Coatue, Insight, etc.)","San Francisco, CA (NYC presence)",~300-400 employees (within CoreWeave); 1M+ AI engineers use the platform,"AI developer platform for experiment tracking, model training, evaluation and monitoring (MLOps/LLMOps).","Core MLOps/LLMOps tooling: experiment tracking, training infra, model eval (Weave), now paired with CoreWeave's GPU cloud.",May 2025 CoreWeave acquisition completed; building end-to-end train/tune/deploy platform; CoreWeave acquired Marimo to extend devtools.,https://wandb.ai,1
Workiva,public (NYSE: WK),Public; FY2025 revenue ~$885M (+20% YoY),"Ames, IA (role in NYC, hybrid)","~3,000+ employees","Cloud platform for financial reporting, ESG/sustainability, audit, risk & compliance","Workiva AI — generative-AI assistants embedded in reporting/audit/risk workflows on a secure, audit-ready platform","2025: launched Workiva AI, repositioning the platform around AI for finance/audit/risk/ESG; serves 6,600+ orgs (85%+ of Fortune 1000)",https://www.workiva.com,1
Zeta Global,Public (NYSE: ZETA),"Public; ~$1.3B revenue (2025), ~30% YoY growth.","New York, NY (role is remote)","~2,500+ employees","AI-powered marketing cloud — unifies identity, data, intelligence, and omnichannel activation on a large proprietary consumer database.","AI Marketing Cloud using trillions of consumer signals for acquisition, growth, and retention; identity resolution and AI-driven personalization.",Acquired Marigold's enterprise software business (Nov 2025); raised 2025/2026 guidance on the strength of AI + loyalty/omnichannel.,https://zetaglobal.com,1
